x,y,z,Fx,Fy,Fz
-0.0416666666667,-0.0416666666667,0.0,-0.008734573234223745,-0.008734573234223745,0.0
-0.04,-0.0416666666667,0.0,-0.017244854020004665,-0.008821975834945818,1.2947207284258385e-18
-0.0383333333333,-0.0416666666667,0.0,-0.01678518041136755,-0.00890826237333044,0.0
-0.0366666666667,-0.0416666666667,0.0,-0.016302987081013274,-0.008993231769856362,1.2947207284258385e-18
-0.035,-0.0416666666667,0.0,-0.015797619270560236,-0.009076674756562023,1.2947207284258385e-18
-0.0333333333333,-0.0416666666667,0.0,-0.015268489054774861,-0.009158374667288402,0.0
-0.0316666666667,-0.0416666666667,0.0,-0.014715090133442351,-0.00923810838689828,0.0
-0.03,-0.0416666666667,0.0,-0.01413701347612485,-0.009315647461369918,0.0
-0.0283333333333,-0.0416666666667,0.0,-0.01353396358035009,-0.009390759367254975,0.0
-0.0266666666667,-0.0416666666667,0.0,-0.012905775037339423,-0.009463208935303662,0.0
-0.025,-0.0416666666667,0.0,-0.012252429031259655,-0.009532759918835986,0.0
-0.0233333333333,-0.0416666666667,0.0,-0.011574069329194478,-0.009599176693187867,0.0
-0.0216666666667,-0.0416666666667,0.0,-0.010871017260019598,-0.009662226068425733,0.0
-0.02,-0.0416666666667,0.0,-0.010143785132959724,-0.009721679193319134,0.0
-0.0183333333333,-0.0416666666667,0.0,-0.009393087514413211,-0.009777313524856153,0.0
-0.0166666666667,-0.0416666666667,0.0,-0.008619849773771181,-0.009828914834486667,0.0
-0.015,-0.0416666666667,0.0,-0.007825213328465808,-0.009876279219678897,0.0
-0.0133333333333,-0.0416666666667,0.0,-0.007010537067832049,-0.009919215087698984,0.0
-0.0116666666667,-0.0416666666667,0.0,-0.006177394518690901,-0.009957545077822504,0.0
-0.01,-0.0416666666667,0.0,-0.00532756643212793,-0.009991107888250956,0.0
-0.00833333333333,-0.0416666666667,0.0,-0.004463028617023824,-0.010019759975102589,-1.2947207284258385e-18
-0.00666666666667,-0.0416666666667,0.0,-0.0035859350171216133,-0.010043377092850721,0.0
-0.005,-0.0416666666667,0.0,-0.002698596216600234,-0.01006185564821486,-1.2947207284258385e-18
-0.00333333333333,-0.0416666666667,0.0,-0.0018034537532138786,-0.0100751138429227,6.473603642129193e-19
-0.00166666666667,-0.0416666666667,0.0,-0.0009030508066178969,-0.010083092584624248,-6.473603642129193e-19
4.33680868994e-19,-0.0416666666667,0.0,1.1288379072116588e-19,-0.01008575614949738,0.0
0.00166666666667,-0.0416666666667,0.0,0.0009030508066178971,-0.010083092584624248,-6.473603642129193e-19
0.00333333333333,-0.0416666666667,0.0,0.0018034537532138786,-0.0100751138429227,6.473603642129193e-19
0.005,-0.0416666666667,0.0,0.002698596216600234,-0.01006185564821486,-1.2947207284258385e-18
0.00666666666667,-0.0416666666667,0.0,0.003585935017121613,-0.010043377092850721,0.0
0.00833333333333,-0.0416666666667,0.0,0.0044630286170238235,-0.010019759975102587,-1.2947207284258385e-18
0.01,-0.0416666666667,0.0,0.005327566432127931,-0.009991107888250956,0.0
0.0116666666667,-0.0416666666667,0.0,0.006177394518690901,-0.009957545077822504,0.0
0.0133333333333,-0.0416666666667,0.0,0.007010537067832049,-0.009919215087698984,0.0
0.015,-0.0416666666667,0.0,0.007825213328465808,-0.009876279219678897,0.0
0.0166666666667,-0.0416666666667,0.0,0.008619849773771181,-0.009828914834486667,0.0
0.0183333333333,-0.0416666666667,0.0,0.009393087514413213,-0.009777313524856153,0.0
0.02,-0.0416666666667,0.0,0.010143785132959724,-0.009721679193319134,0.0
0.0216666666667,-0.0416666666667,0.0,0.010871017260019598,-0.009662226068425733,0.0
0.0233333333333,-0.0416666666667,0.0,0.011574069329194478,-0.009599176693187867,0.0
0.025,-0.0416666666667,0.0,0.012252429031259655,-0.009532759918835986,-1.2947207284258385e-18
0.0266666666667,-0.0416666666667,0.0,0.012905775037339424,-0.009463208935303662,0.0
0.0283333333333,-0.0416666666667,0.0,0.013533963580350087,-0.009390759367254975,0.0
0.03,-0.0416666666667,0.0,0.01413701347612485,-0.009315647461369918,0.0
0.0316666666667,-0.0416666666667,0.0,0.014715090133442355,-0.00923810838689828,0.0
0.0333333333333,-0.0416666666667,0.0,0.015268489054774861,-0.009158374667288402,0.0
0.035,-0.0416666666667,0.0,0.015797619270560236,-0.009076674756562023,1.2947207284258385e-18
0.0366666666667,-0.0416666666667,0.0,0.016302987081013274,-0.008993231769856362,1.2947207284258385e-18
0.0383333333333,-0.0416666666667,0.0,0.016785180411367548,-0.00890826237333044,-8.092004552661491e-20
0.04,-0.0416666666667,0.0,0.017244854020004665,-0.008821975834945817,1.2947207284258385e-18
0.0416666666667,-0.0416666666667,0.0,0.008734573234223745,-0.008734573234223745,0.0
-0.0416666666667,-0.04,0.0,-0.008821975834945817,-0.017244854020004544,1.2947207284258385e-18
-0.04,-0.04,0.0,-0.01742031796799541,-0.01742031796799541,0.0
-0.0383333333333,-0.04,0.0,-0.016961737435012267,-0.01759363602358279,0.0
-0.0366666666667,-0.04,0.0,-0.016480161172356438,-0.017764401727560775,-1.2947207284258385e-18
